p(yes)(no),0.5274426919,0.4725573081
p(default),0.0000031499,0.0000035113
,0.0001795468,0.0003370810
half,0.0005764397,0.0008321688
hostag,0.0000598489,0.0000807590
don't,0.0013670755,0.0019031033
hamlet,0.0000976483,0.0000035113
hall,0.0001732469,0.0000912928
pretend,0.0000692988,0.0001334279
wreck,0.0000566990,0.0000772477
satan,0.0000031499,0.0000948040
drunk,0.0000566990,0.0001018266
ted,0.0001102480,0.0000807590
successfulli,0.0000818985,0.0000807590
would,0.0025798038,0.0030231954
stumbl,0.0001007982,0.0001369392
pick,0.0002362458,0.0003125022
ten,0.0001574972,0.0002457882
sake,0.0000031499,0.0000983153
clich,0.0002330958,0.0005091328
solid,0.0002866449,0.0001544955
gabriel,0.0000031499,0.0001123603
antonio,0.0000031499,0.0000702252
unbear,0.0000031499,0.0000737365
rounder,0.0000724487,0.0000035113
0,0.0000031499,0.0001228941
1,0.0002960947,0.0004564639
remak,0.0000598489,0.0001825856
2,0.0005890395,0.0006250044
3,0.0002803450,0.0003827274
size,0.0000755986,0.0001158716
4,0.0002015964,0.0003546373
temper,0.0000629989,0.0000035113
left,0.0005480902,0.0005688242
5,0.0001732469,0.0002106756
6,0.0001070981,0.0001053378
7,0.0001732469,0.0001228941
8,0.0002204961,0.0001299166
9,0.0000724487,0.0001123603
object,0.0001417475,0.0001158716
besid,0.0000913484,0.0001123603
weir,0.0000692988,0.0000035113
hang,0.0001637971,0.0001896081
role,0.0016033213,0.0014466394
cliff,0.0000031499,0.0000632027
hank,0.0002771950,0.0001509842
roll,0.0001984464,0.0002106756
turn,0.0014237745,0.0013483241
blond,0.0000818985,0.0001825856
elect,0.0000566990,0.0000035113
gold,0.0001102480,0.0001123603
result,0.0005102909,0.0004634864
same,0.0011654791,0.0010884908
beatti,0.0000850485,0.0000035113
shouldn't,0.0000913484,0.0001439617
surfac,0.0001007982,0.0001193829
quiet,0.0001322976,0.0000035113
after,0.0023719075,0.0023911685
connect,0.0002362458,0.0001474729
hand,0.0008126855,0.0008251462
cigarett,0.0000031499,0.0000667140
b,0.0001669470,0.0003651711
address,0.0000661488,0.0000035113
c,0.0001133980,0.0001474729
piec,0.0004535919,0.0004775314
d,0.0001669470,0.0002036531
e,0.0001826967,0.0002212094
f,0.0001039481,0.0000948040
corni,0.0000031499,0.0000948040
g,0.0001007982,0.0001299166
h,0.0000755986,0.0000035113
i,0.0087946426,0.0113975519
j,0.0001606471,0.0001966306
gibson,0.0001921466,0.0001053378
k,0.0000031499,0.0000877815
l,0.0002110462,0.0002212094
conrad,0.0000031499,0.0000632027
blood,0.0003055445,0.0002633445
neighbor,0.0001259977,0.0000842703
m,0.0001732469,0.0001088491
n,0.0000913484,0.0000667140
o,0.0001291477,0.0001404504
straight,0.0002078963,0.0003125022
p,0.0000944983,0.0000035113
poorli,0.0000031499,0.0002247207
hewitt,0.0000031499,0.0000877815
r,0.0002425457,0.0002563220
s,0.0011339797,0.0012184074
t,0.0001984464,0.0003089909
throw,0.0001826967,0.0003405923
u,0.0002456956,0.0002106756
x,0.0001826967,0.0001825856
thank,0.0002645953,0.0001720518
obvious,0.0002708952,0.0003616598
fifth,0.0000566990,0.0000807590
imag,0.0004378422,0.0002387657
demonstr,0.0001385975,0.0001193829
thu,0.0001637971,0.0001790743
violent,0.0001952965,0.0001825856
incid,0.0000976483,0.0000035113
cgi,0.0000692988,0.0000632027
choreograph,0.0000031499,0.0000632027
wrestl,0.0000031499,0.0001931193
